Date,Open,High,Low,Close,Adj Close,Volume
2014-02-01,177.970001,187.149994,173.710007,186.289993,162.013229,2394184600
2014-03-01,184.649994,189.020004,183.750000,187.009995,162.639435,2554084300
2014-04-01,187.619995,189.699997,181.309998,188.309998,164.492813,2345902000
2014-05-01,188.220001,192.800003,186.009995,192.679993,168.310074,1781093800
2014-06-01,192.949997,196.600006,191.970001,195.720001,170.965652,1675047300
2014-07-01,196.199997,199.059998,192.970001,193.089996,169.476440,1893710200
2014-08-01,192.559998,200.820007,190.550003,200.710007,176.164612,1829885000
2014-09-01,200.970001,201.899994,196.050003,197.020004,172.925873,2106462700
2014-10-01,196.699997,201.820007,181.919998,201.660004,177.825775,3943068000
2014-11-01,201.919998,207.869995,200.059998,207.199997,182.711014,1571091800
2014-12-01,206.399994,212.970001,197.860001,205.539993,181.247208,3045171000
2015-01-01,206.380005,206.880005,198.550003,199.449997,176.847672,3183506000
2015-02-01,200.050003,212.240005,197.860001,210.660004,186.787354,1901638100
2015-03-01,210.779999,212.059998,204.119995,206.429993,183.036697,2749923000
2015-04-01,206.389999,212.479996,204.509995,208.460007,185.661713,2036685200
2015-05-01,209.399994,213.779999,206.759995,211.139999,188.048615,1892519900
2015-06-01,211.940002,213.339996,205.279999,205.850006,183.337158,2535242600
2015-07-01,207.729996,213.179993,204.110001,210.500000,188.390533,2452758000
2015-08-01,210.460007,211.309998,182.399994,197.669998,176.908157,3734926900
2015-09-01,193.119995,202.889999,186.929993,191.630005,171.502533,3279512900
2015-10-01,192.080002,209.440002,189.119995,207.929993,187.057922,2536184400
2015-11-01,208.320007,211.660004,202.179993,208.690002,187.741653,1924512800
2015-12-01,209.440002,211.000000,199.830002,203.869995,183.405472,2924882300
2016-01-01,200.490005,201.899994,181.020004,193.720001,175.311539,3712950900
2016-02-01,192.529999,196.679993,181.089996,193.559998,175.166702,2920730800
2016-03-01,195.009995,206.869995,194.449997,205.520004,185.990219,2323306500
2016-04-01,204.350006,210.919998,203.089996,206.330002,187.686279,1910635600
2016-05-01,206.919998,210.690002,202.779999,209.839996,190.879135,1828530900
2016-06-01,209.119995,212.520004,198.649994,209.479996,190.551666,2612406900
2016-07-01,209.479996,217.539993,207.059998,217.119995,198.528381,1648453700
2016-08-01,217.190002,219.600006,214.250000,217.380005,198.766159,1519703200
2016-09-01,217.369995,219.220001,212.309998,216.300003,197.778625,2292393000
2016-10-01,215.820007,216.699997,211.210007,212.550003,195.331467,1725687400
2016-11-01,212.929993,221.820007,208.380005,220.380005,202.527191,2073824400
2016-12-01,220.729996,228.339996,219.149994,223.529999,205.421967,1821910200
