Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,57.590000,57.590000,53.049999,53.520000,44.753708,9817700
2014-02-01,53.439999,55.709999,52.270000,55.439999,46.359219,6311900
2014-03-01,54.869999,57.439999,54.349998,57.200001,47.830940,6244000
2014-04-01,57.580002,58.880001,56.930000,58.240002,48.700603,8557500
2014-05-01,58.189999,60.330002,58.090000,59.599998,49.837841,3168800
2014-06-01,59.740002,60.869999,59.369999,60.070000,50.230850,3807800
2014-07-01,60.549999,62.000000,60.310001,60.650002,51.320721,3777100
2014-08-01,60.720001,63.209999,60.599998,62.610001,52.979240,3761000
2014-09-01,62.709999,63.680000,59.320000,59.799999,50.601475,4534000
2014-10-01,59.660000,60.790001,57.689999,60.560001,51.244572,9789900
2014-11-01,60.520000,60.619999,58.860001,59.270000,50.152992,5313600
2014-12-01,58.730000,58.900002,54.130001,56.630001,47.919083,12096100
2015-01-01,56.619999,58.790001,54.959999,57.299999,49.220898,8098300
2015-02-01,57.849998,59.130001,57.480000,58.750000,50.466450,7013600
2015-03-01,58.700001,59.099998,56.299999,59.009998,50.689793,8071700
2015-04-01,59.590000,63.709999,59.369999,62.230000,53.455776,8193300
2015-05-01,62.459999,62.810001,60.029999,60.070000,51.600338,9161800
2015-06-01,60.119999,60.119999,56.970001,57.680000,49.547314,9040500
2015-07-01,57.950001,58.209999,54.459999,55.490002,48.154507,10026300
2015-08-01,55.119999,55.619999,45.270000,50.880001,44.153923,15028500
2015-09-01,50.380001,52.439999,48.119999,49.820000,43.234043,12807500
2015-10-01,50.110001,54.160000,49.529999,52.340000,45.420918,12932600
2015-11-01,52.599998,53.619999,50.020000,50.299999,43.650593,11033600
2015-12-01,50.459999,50.730000,47.230000,48.660000,42.227394,20401200
2016-01-01,47.529999,47.790001,43.439999,47.000000,41.329823,18045900
2016-02-01,46.689999,48.009998,45.320000,47.029999,41.356209,13067000
2016-03-01,47.730000,51.689999,47.689999,51.369999,45.172623,18674800
2016-04-01,50.689999,52.660000,49.630001,51.459999,45.251766,15432400
2016-05-01,51.430000,51.610001,48.810001,50.169998,44.117390,15636600
2016-06-01,50.029999,52.380001,48.630001,51.590000,45.366085,18339800
2016-07-01,51.830002,53.139999,50.360001,53.090000,47.275368,15732500
2016-08-01,53.220001,54.840000,52.560001,53.270000,47.435654,19535700
2016-09-01,53.310001,54.860001,52.110001,54.060001,48.139126,18932400
2016-10-01,54.060001,54.320000,52.380001,52.830002,47.043846,14048400
2016-11-01,53.080002,53.490002,49.090000,50.220001,44.719700,21038700
2016-12-01,50.029999,51.020000,47.799999,48.910000,43.553177,20646900
2017-01-01,49.110001,51.209999,48.939999,50.730000,45.847809,14274600
2017-02-01,50.810001,52.520000,50.549999,51.709999,46.733490,13332200
2017-03-01,51.959999,54.200001,51.259998,53.500000,48.351223,14045400
2017-04-01,53.720001,54.570000,53.040001,54.270000,49.047123,7647400
2017-05-01,54.400002,55.759998,54.060001,55.299999,49.977993,8281100
2017-06-01,55.500000,56.240002,54.869999,55.400002,50.068371,9573000
2017-07-01,55.630001,57.680000,54.849998,57.099998,52.002705,6321800
2017-08-01,57.330002,58.250000,56.369999,58.139999,52.949863,6453100
2017-09-01,58.349998,59.060001,57.549999,58.099998,52.913433,9549700
2017-10-01,58.020000,59.880001,58.000000,59.189999,53.906136,8190400
2017-11-01,59.540001,60.520000,58.720001,59.200001,53.915234,7779600
2017-12-01,59.139999,61.080002,58.599998,60.759998,55.335979,6774700
2018-01-01,61.419998,65.550003,61.259998,64.470001,59.694778,8750200
2018-02-01,64.010002,64.290001,58.919998,61.209999,56.676239,14083000
